Date : 2022-12-04 16:41:55
Directory : c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic
Total : 70 files,  43538 codes, 264 comments, 1497 blanks, all 45299 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          6 |     36,838 |          0 |          6 |     36,844 |
| JavaScript |         61 |      6,637 |        241 |      1,456 |      8,334 |
| Markdown   |          2 |         40 |          0 |         34 |         74 |
| HTML       |          1 |         23 |         23 |          1 |         47 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |         70 |     43,538 |        264 |      1,497 |     45,299 |
| client                                                                                                        |         56 |     34,140 |        209 |      1,294 |     35,643 |
| client\public                                                                                                 |         12 |        306 |         28 |         55 |        389 |
| client\public\Comments                                                                                        |         10 |        258 |          5 |         53 |        316 |
| client\src                                                                                                    |         41 |      4,635 |        181 |      1,204 |      6,020 |
| client\src\components                                                                                         |         39 |      4,597 |        179 |      1,195 |      5,971 |
| client\src\components\Comments                                                                                |          2 |        272 |         27 |         76 |        375 |
| client\src\components\TextEditor                                                                              |          2 |        266 |          0 |         14 |        280 |
| client\src\hooks                                                                                              |          1 |         12 |          0 |          6 |         18 |
| server                                                                                                        |         12 |      7,150 |         55 |        201 |      7,406 |
| server\data                                                                                                   |          3 |        626 |          0 |          9 |        635 |
| server\handlers                                                                                               |          4 |      1,000 |         43 |        157 |      1,200 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\README.md                                        | Markdown   |          2 |          0 |          1 |          3 |
