Date : 2022-11-29 14:36:26
Directory : c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic
Total : 622 files,  2014774 codes, 100 comments, 1180 blanks, all 2016054 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          9 |  1,996,060 |          0 |          7 |  1,996,067 |
| JavaScript |        610 |     18,651 |         77 |      1,138 |     19,866 |
| Markdown   |          2 |         40 |          0 |         34 |         74 |
| HTML       |          1 |         23 |         23 |          1 |         47 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        622 |  2,014,774 |        100 |      1,180 |  2,016,054 |
| client                                                                                                       |         35 |     31,203 |         64 |        464 |     31,731 |
| client\public                                                                                                |          2 |         48 |         23 |          2 |         73 |
| client\src                                                                                                   |         30 |      1,968 |         41 |        427 |      2,436 |
| client\src\components                                                                                        |         28 |      1,931 |         41 |        418 |      2,390 |
| client\src\components\TextEditor                                                                             |          2 |        259 |          0 |         13 |        272 |
| client\src\hooks                                                                                             |          1 |         12 |          0 |          6 |         18 |
| server                                                                                                       |        585 |  1,981,323 |         36 |        714 |  1,982,073 |
| server\data                                                                                                  |        577 |  1,975,258 |          0 |        589 |  1,975,847 |
| server\data\Chords                                                                                           |        574 |     15,421 |          0 |        586 |     16,007 |
| server\data\Chords\guitar                                                                                    |        570 |     15,357 |          0 |        584 |     15,941 |
| server\data\Chords\guitar\chords                                                                             |        565 |     15,256 |          0 |        578 |     15,834 |
| server\data\Chords\guitar\chords\A                                                                           |         55 |      1,417 |          0 |         56 |      1,473 |
| server\data\Chords\guitar\chords\Ab                                                                          |         42 |      1,196 |          0 |         43 |      1,239 |
| server\data\Chords\guitar\chords\B                                                                           |         43 |      1,190 |          0 |         44 |      1,234 |
| server\data\Chords\guitar\chords\Bb                                                                          |         43 |      1,199 |          0 |         44 |      1,243 |
| server\data\Chords\guitar\chords\C                                                                           |         47 |      1,253 |          0 |         48 |      1,301 |
| server\data\Chords\guitar\chords\C#                                                                          |         43 |      1,174 |          0 |         44 |      1,218 |
| server\data\Chords\guitar\chords\D                                                                           |         48 |      1,262 |          0 |         49 |      1,311 |
| server\data\Chords\guitar\chords\E                                                                           |         59 |      1,505 |          0 |         60 |      1,565 |
| server\data\Chords\guitar\chords\Eb                                                                          |         43 |      1,184 |          0 |         44 |      1,228 |
| server\data\Chords\guitar\chords\F                                                                           |         50 |      1,347 |          0 |         51 |      1,398 |
| server\data\Chords\guitar\chords\F#                                                                          |         43 |      1,210 |          0 |         44 |      1,254 |
| server\data\Chords\guitar\chords\G                                                                           |         48 |      1,293 |          0 |         49 |      1,342 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                     | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\README.md                                       | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\README.md                                | Markdown   |         38 |          0 |         33 |         71 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\package-lock.json                        | JSON       |     29,090 |          0 |          1 |     29,091 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\package.json                             | JSON       |         59 |          0 |          1 |         60 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\index.html                        | HTML       |         23 |         23 |          1 |         47 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\manifest.json                     | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\App.js                    | JavaScript |         51 |          0 |         10 |         61 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\ArtistCard.js             | JavaScript |         49 |          5 |         20 |         74 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Artists.js                | JavaScript |         35 |          0 |          9 |         44 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\CurrentUserContext.js     | JavaScript |         71 |          4 |         18 |         93 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\EditSongPage.js           | JavaScript |         25 |          1 |          8 |         34 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\ErrorPage.js              | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\GlobalStyles.js           | JavaScript |         61 |          1 |          9 |         71 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Header.js                 | JavaScript |        151 |          6 |         42 |        199 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\HomePage.js               | JavaScript |         67 |          1 |         26 |         94 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Journal.js                | JavaScript |         25 |          0 |          4 |         29 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\LandingPage.js            | JavaScript |         64 |          0 |         14 |         78 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Layout.js                 | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\LoginButton.js            | JavaScript |         14 |          0 |          6 |         20 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\LogoutButton.js           | JavaScript |         13 |          0 |          3 |         16 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\MusicContext.js           | JavaScript |         52 |          1 |         18 |         71 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\ProfileInfo.js            | JavaScript |        322 |          8 |         68 |        398 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\SideBar.js                | JavaScript |         48 |          0 |         10 |         58 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\SongCard.js               | JavaScript |         37 |          0 |         10 |         47 |
| c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\SongPage.js               | JavaScript |        286 |          6 |         53 |        345 |
